,Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number
0,synthetic lover,null,null,Critic,null,null,tbd
1,synthetic lover,null,null,User,null,null,null
2,railbreak,null,null,Critic,null,null,tbd
3,railbreak,null,null,User,null,null,null
4,mortal kombat 1 quan chi,null,null,Critic,null,null,tbd
5,mortal kombat 1 quan chi,null,null,User,null,null,null
6,three minutes to eight,PC,Adventure Gamers,Critic,"The gripping science-fiction narrative in Three Minutes To Eight features an ingenious use of random elements that, combined with well-executed pixel art graphics and accomplished voice acting, ensure that each experience is unique.","Nov 29, 2023",100
7,three minutes to eight,null,null,User,null,null,null
8,bigfoots journey,null,null,Critic,null,null,tbd
9,bigfoots journey,null,null,User,null,null,null
10,asonde shogi ga tsuyoku naru ginsei shogi dx2,null,null,Critic,null,null,tbd
11,asonde shogi ga tsuyoku naru ginsei shogi dx2,null,null,User,null,null,null
12,rhapsody ii ballad of the little princess,PC,RPG Fan,Critic,"It’s unfortunate that it took over twenty years for the West to experience Rhapsody II properly, as the game is incredibly fun, amusing, and full of both heart and charm. The characters are just as hilarious as they are heartfelt, the musical numbers make the game stand out amongst its peers, and the game is wildly creative in every aspect. Rhapsody II‘s short length ensures it’s a breezy experience and a perfect palette cleanser amidst the sea of RPGs set in miserable worlds. Rhapsody II is a vastly improved sequel on all fronts, and while it has a few minor blemishes, it’s easy to recommend to anyone looking for a unique experience.","Aug 24, 2023",80
13,rhapsody ii ballad of the little princess,null,null,User,null,null,null
14,this bed we made,PlayStation 5,PlayStation Universe,Critic,"This Bed We Made is a great game that kept me returning for more. I loved the narrative experience and the human element of its story. Though it was a short experience, the various paths to take to the ending had me trying repeatedly to see every scene and ending. Sophie is a unique character that I grew to love and was driven to protect no matter what. This Bed We Made is a game I highly recommend.","Nov 4, 2023",80
15,this bed we made,null,null,User,null,null,7.8
16,this bed we made,null,null,User,null,null,null
17,2045 tsuki yori,null,null,Critic,null,null,tbd
18,2045 tsuki yori,null,null,User,null,null,null
19,ravva and the phantom library,null,null,Critic,null,null,tbd
20,ravva and the phantom library,null,null,User,null,null,null
21,poppy playtime chapter 1,iOS (iPhone/iPad),Pocket Tactics,Critic,"Poppy Playtime Chapter 1 ushers in a new era of horror games, though it remains true to iconic tropes from the genre, thanks to its use of jump scares and puzzles. Unfortunately, on mobile the game suffers from some performance issues that may hinder your time with the game. Still, the atmosphere and story are enough to keep you hooked. Or, you could play it on PC, where we would score it higher than a seven.","Oct 5, 2023",70
22,poppy playtime chapter 1,null,null,User,null,null,7.0
23,poppy playtime chapter 1,null,null,User,null,null,null
24,rhapsody iii memories of marl kingdom,null,null,Critic,null,null,tbd
25,rhapsody iii memories of marl kingdom,null,null,User,null,null,null
26,draco d,null,null,Critic,null,null,tbd
27,draco d,null,null,User,null,null,null
28,my child lebensborn remastered,null,null,Critic,null,null,tbd
29,my child lebensborn remastered,null,null,User,null,null,null
30,rough justice 84,PC,Softpedia,Critic,"Rough Justice ‘84 has a very good core idea and impresses in terms of atmosphere. The music, the character portraits, and the design of the cases, all work together to immerse players and keep their interest level up. I would love to see a TV series that uses some of the featured agents. Unfortunately, the gameplay mechanics let the rest of the experience down. The elements that are centered on dice, clever use of energy, and good choice of items can be fun, even if they become repetitive. The mini-games are the big problem. Rough Justice ‘84 is worth trying out as long as you love the boardgame-inspired action and the setting but I hope incoming updates improve gameplay.","Mar 14, 2023",78
31,rough justice 84,PC,Merlin'in Kazanı (Turkey),Critic,"Ex-cop Hank has to work for a living. Since he can't turn back to being a cop, he has to use his skills in another field. Private detective seems to be the right profession for him.","Mar 12, 2023",77
32,rough justice 84,PC,Finanzamt,User,Love the 80s vibe in this!,"Oct 29, 2023",9.0
33,rough justice 84,PC,Zee_DeCoY,User,"If you like boardgames and the 80s- you're in the right place! Rough Justice: '84 has a very chill gameplay loop which is intensified over time. Its a neat game that you can sink many hours into, with a good story as well. I thoroughly enjoyed it.","Oct 24, 2023",9
34,3d color labyrinth,null,null,Critic,null,null,tbd
35,3d color labyrinth,null,null,User,null,null,null
36,sokowinter,null,null,Critic,null,null,tbd
37,sokowinter,null,null,User,null,null,null
38,rail romanesque origin,null,null,Critic,null,null,tbd
39,rail romanesque origin,null,null,User,null,null,null
40,mystic warriors,null,null,Critic,null,null,tbd
41,mystic warriors,null,null,User,null,null,null
42,santas world,null,null,Critic,null,null,tbd
43,santas world,null,null,User,null,null,null
44,tiger blade,PlayStation 5,Gamereactor Finland,Critic,It's not fun to always learn by trial and error.,"Dec 19, 2023",50
45,tiger blade,null,null,User,null,null,null
46,dc5 da capo 5,null,null,Critic,null,null,tbd
47,dc5 da capo 5,null,null,User,null,null,null
48,aery calm mind 4,null,null,Critic,null,null,tbd
49,aery calm mind 4,null,null,User,null,null,null
50,freddi fish 4 the hogfish rustlers of briny gulch,null,null,Critic,null,null,tbd
51,freddi fish 4 the hogfish rustlers of briny gulch,null,null,User,null,null,tbd
52,hotel rnr,PlayStation 4,PlayStation Universe,Critic,"Hotel R’n’R allows players to engage in an ultimate fantasy – being a rock star and smashing up a hotel room. With solid controls and a fun game loop, Hotel R’n’R will call players back again and again for one more round – even if the progression feels a bit slow. This is a solid game with a wicked sense of humor. If you suspect that you will like Hotel R’n’R even a little, I’m here to tell you that you will love it. Rock on.","Jun 3, 2020",85
53,hotel rnr,null,null,User,null,null,null
54,the rumble fish plus,null,null,Critic,null,null,tbd
55,the rumble fish plus,null,null,User,null,null,null
56,breachers,PC,UploadVR,Critic,"Breachers is a fine effort that delivers on its promise, offering a thrilling tactical VR shooter with satisfying gunplay. Securing victories with carefully planned strategies feels immensely satisfying with friends in co-op. While no competitive mode at launch is disappointing, it’s reassuring to know that option’s coming post-launch. If you’ve been seeking a Rainbow Six: Siege or Counter-Strike experience in VR, I highly recommend jumping in. I believe Breachers has a strong future ahead. [Upload Recommended]","Apr 18, 2023",tbd
57,breachers,null,null,User,null,null,null
58,aokana four rhythms across the blue extra1p,null,null,Critic,null,null,tbd
59,aokana four rhythms across the blue extra1p,null,null,User,null,null,null
60,vetrix worlds,null,null,Critic,null,null,tbd
61,vetrix worlds,null,null,User,null,null,tbd
62,darkgems,null,null,Critic,null,null,tbd
63,darkgems,null,null,User,null,null,null
64,pajama sam you are what you eat from your head to,null,null,Critic,null,null,tbd
65,pajama sam you are what you eat from your head to,null,null,User,null,null,null
66,aokana four rhythms across the blue extra2p,null,null,Critic,null,null,tbd
67,aokana four rhythms across the blue extra2p,null,null,User,null,null,null
68,battle rockets,PlayStation Vita,Gaming Age,Critic,"Really, the only good thing I can say about Battle Rockets is that it must be a labour of love, because it’s only on the Vita. Personally, as someone who has played the Vita for far more hours than most people, I feel like that’s enough to make the game worthwhile, but for anyone who isn’t a diehard Vita completionist, Battle Rockets is more an oddity worth noting than something worth playing.","Apr 29, 2020",50
69,battle rockets,null,null,User,null,null,null
70,cat pipes,null,null,Critic,null,null,tbd
71,cat pipes,null,null,User,null,null,null
72,thrillville off the rails,Xbox 360,Xbox World 360 Magazine UK,Critic,"Old fashioned to look at, but packed with invention and things to do.  [Christmas 2007, p.77]",,73
73,thrillville off the rails,null,null,User,null,null,3.1
74,thrillville off the rails,null,null,User,null,null,null
75,loot river,PC,Hardcore Gamer,Critic,"To say Loot River is a game mechanically and visually enticing would be to downplay just what makes a game of this stature such a treat to repeatedly explore. Unusual a pitch it might’ve sounded, the eccentric implication that “Dark Souls meets Tetris” isn’t entirely unwarranted. In a game whose novel implementation of movement alone is one with a plentiful amount of offensive, defensive and tactical potential, let alone a mere tool for traversal that can be as equally costly as it is a helpful aid. Just like its technical niceties that add so much to the pixelated aesthetic, it’s what the game doesn’t reveal at the outset — and thus, that desire to figure out the true path to success — that is by far the most impressive thing about Loot River. One that not only justifies its quirky alternative to run-based progression, but through it transforms the game from that of a humble roguelite into one that, strangely enough, is just as much puzzle-platformer as it is grueling dungeon-crawler.","May 2, 2022",72
76,loot river,PC,God is a Geek,Critic,"Loot River offers a challenge for the most sadistic of players. While the combat elements are enjoyable and the moving platforms give it a new spin that really works, I just always felt cheated with the lack of progress I was making.","May 2, 2022",75
77,loot river,PC,S3XU4LH34L1NG,User,Whats there is really cool but i finished it in like 2 hrs. The fighting system is fun and parrying is easy and satisfying. The tetris puzzling is novel but repetetive.,"Nov 19, 2022",4.6
78,loot river,PC,DelCast,User,"The game has a very promising concept, stylish visuals and a strong opening, but sadly bugs, glitches and overall just poorly designed systems leave it feeling very unfinished.

After a several glitched runs, frustrating bugs, and many unpolished encounters. I sadly cannot recommend this game at all.

As many people have mentioned, it sadly feels like an early access version.","May 8, 2022",5
79,r wheel,null,null,Critic,null,null,tbd
80,r wheel,null,null,User,null,null,null
81,forevr bowl,null,null,Critic,null,null,tbd
82,forevr bowl,null,null,User,null,null,null
83,disney pixar buzz lightyear of star command,Dreamcast,Game Fan,Critic,"The game's mechanics are just too elementary for any gamer older than thirteen, and even that might be too old for this decidedly kiddie fare.",,55
84,disney pixar buzz lightyear of star command,null,null,User,null,null,8.3
85,disney pixar buzz lightyear of star command,null,null,User,null,null,null
86,truck simulator driver usa 2024,null,null,Critic,null,null,tbd
87,truck simulator driver usa 2024,null,null,User,null,null,null
88,thrillville,PlayStation 2,GamingTrend,Critic,"If you're looking for a fun game that you can play with the kids, or as a group, this is a solid purchase and does its job quite well.",,69
89,thrillville,PlayStation 2,The A.V. Club,Critic,"Talking with the guests is surprisingly engrossing. The dialogue options include an arsenal of cheap compliments and weird factoids, and the responses are often surprising.",,75
90,thrillville,PlayStation 2,GoofBall,User,"Thrillvillle is the best amusment park builder I have ever played. Build the Amusment park you have always wanted. Talk with your guest. Add food and drink stalls anywhere you want. Change the themese and colors of everything so it matches the style you want to have and dont forget the coaster builder.
Build coasters that go everywhere and anywhere. I had coasters going through other coasters at times.

You have multiple amusments to play at. Once you accomplish enough goals you unlock another one.
Each amusment park has three zones with its own theme and there are a lot of fun.
From a wild west shootout style zone to a futuristic zone with flying cars whizing by your face.
The variety is great. I could spend an hour making a awesome track going all around my park for cars to race on and the make a roller coaster to go under and over it.
You can talk with your guest and befriend them or even help them find someone to hang out with. You can even play a love matching game and help two people meet.
I found myself spending hours talking with guests to get feedback about the park.
The coasters become more fun as the game goes on and so do the themes.
The fact that you can put up a awesome virtual reality shooting game up for your guests to play and then run inside and play it is something I always wanted.

From water rides, to steel coasters, to race tracks..Thrillville is an amusment park fans dream.

Thrillville gets a 9/10. (Now Im going to go play)","Mar 21, 2014",2.3
