,Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number
0,god of war ragnarok valhalla,PlayStation 5,INVEN,Critic,"God of War Ragnarök: Valhalla is not merely an optional DLC but rather an essential one. The completeness and enjoyment as a roguelite, combined with its narrative aspects, are truly perfect. For gamers eagerly awaiting the sequel, it's undoubtedly a delightful year-end surprise in many aspects.","Dec 23, 2023",87
1,god of war ragnarok valhalla,PlayStation 5,Gamersky,Critic,"At the end of God of War: Ragnarok Valhalla, I saw that Santa Monica Studios knew exactly how to end the story - Kratos, the aging hero, needed to step out of the shadows of his past and face the future.","Dec 19, 2023",90
2,god of war ragnarok valhalla,PlayStation 5,D3NGZ,User,this is a must play for any fan of the series..even if it wasnt free it would have gotten a high score from me.. the combat is as good as ever and gets very unique with the roguelike elements but the real star is how much story you get with it..,"Dec 26, 2023",9.1
3,god of war ragnarok valhalla,PlayStation 5,Loanderson,User,"Essa dlc é mais longa que a campanha do call of duty 3, além de ser Graça ainda kkkkkkkkkkkkk aprende Activision","Dec 26, 2023",10
4,citydriver,null,null,Critic,null,null,tbd
5,citydriver,null,null,User,null,null,tbd
6,hammerwatch anniversary edition,null,null,Critic,null,null,tbd
7,hammerwatch anniversary edition,null,null,User,null,null,null
8,slimeboo,null,null,Critic,null,null,tbd
9,slimeboo,null,null,User,null,null,null
10,cyber tank,null,null,Critic,null,null,tbd
11,cyber tank,null,null,User,null,null,null
12,metaball,null,null,Critic,null,null,tbd
13,metaball,null,null,User,null,null,null
14,lord of the click interstellar wars,null,null,Critic,null,null,tbd
15,lord of the click interstellar wars,null,null,User,null,null,null
16,fortnite fortnite festival,PlayStation 5,IGN,Critic,"Fortnite Festival’s limited, isolating gameplay and overpriced tracks may turn Fortnite players into rhythm game fans, but it won’t turn rhythm game fans into Fortnite players.","Dec 14, 2023",40
17,fortnite fortnite festival,null,null,User,null,null,null
18,sky runners infinite parkour,null,null,Critic,null,null,tbd
19,sky runners infinite parkour,null,null,User,null,null,tbd
20,fortnite rocket racing,Xbox Series X,IGN,Critic,"Rocket Racing is certainly worth a few rounds if you’re already into either Fortnite or arcadey racers, though it doesn’t yet have enough going for it to permanently attract anyone away from other beloved multiplayer games like Rocket League or Mario Kart. Still, its brief races are speedy enough to keep me entertained between other activities, and I love how simple and easy it is to get online buddies playing together across platforms – even though its underdeveloped racing mechanics, lack of content, and absence of local multiplayer mean it struggles to stay fresh for too long.","Dec 22, 2023",60
21,fortnite rocket racing,null,null,User,null,null,null
22,guilty gear strive additional character 11 elphelt,null,null,Critic,null,null,tbd
