Author,Timestamp,Comment,Article
Hawki90,"30 June, 2023",Man remake games that actually need remakes. I played AC4 for the first time last year and it plays great. This is so unnecessary ,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
WildWildJimWest,"30 June, 2023","Every time I turn around there’s a new remake being made and it’s one I have not played. Between some Resident Evil entry, Mario RPG or this, I’m in heaven. ",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Irvnlr88,"30 June, 2023","Personally, I think it’s a great idea not to mix politics with video games or hobbies especially if you know how politics can get. You shouldn’t post your personal views in a site that has nothing to do with politics. Just saying. ",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
spman345,"30 June, 2023","What will we do with a drunken sailor? Ayyy, let’s get the sea shanties going. The best game of this franchise!",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
SirNoodlez,"30 June, 2023","If the Skull & Bones team is working on this, this ain't ever coming out. ",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
ShAdYkIlLsGold,"30 June, 2023",It’ll be funny if Skull & Bones is reworked into an AC4 remake😂,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Shaved_Ape,"3 July, 2023","See, I don't have a problem with remakes if done well, but I really do think some publishers are remaking stuff too soon. The PS360 era is too soon for me. Whilst Demon's Souls, The Last of Us and Dead Space were all great, I don't think any of them added anything apart from shinier graphics and hi...
See more",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
ANUBISZER0,"30 June, 2023","This game just seems too recent to me for a remake. I still have it on for PS3 and PS4, the game still plays great. Maybe an older Ubisoft title should get a remake. ",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
BceBears2,"30 June, 2023",I hope so. Kenway was an awesome protagonist. ,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
crowbar_inflicts,"30 June, 2023",Absolutely unnecessary...tedious ship missions.,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Ha1frican,"30 June, 2023","I don’t see why people get upset about these things. If you don’t want it, then it’s just not for you. I personally would like an updated version of a game like this although I would prefer games we can’t currently play like those from the PS1-3 and Xbox/360 generations. That being said I’ll get th...
See more",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
MooveePhown,"1 July, 2023","I'd play it again. Great game, arguably the best in the series.",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Ryan8310,"1 July, 2023","Only really enjoyed AC2, but even that grew tiresome to me about halfway through, and never finished it. Liked the puzzles on it. ",ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Irvnlr88,"30 June, 2023",Black Flag is good as it is. They should remake the original Assassin’s Creed and include that feature where you’re able to explore real ancient locations similar to what they introduced with the newer games (can’t remember the name of that feature). Plenty of people would at least considering buyi...See more,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Sheeplenk,"30 June, 2023",The fact that this has leaked before Skull & Bones is out is beyond laughable.,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
NitwitOddmentBlubberTweak,"30 June, 2023",That would be great. AC4: Black Flag is the best game in the series gameplay-wise. AC2 still has the best story though.,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
Whyyougonnacry4,"30 June, 2023",Remaking the very first AC seems more appropriate. I played through Black Flag last year and it holds up extremely well on the Series X. ,ubisoft-is-reportedly-working-on-an-assassins-creed-4-black-flag-remake
