Author,Timestamp,Comment,Article
GhostLegion,"24 March, 2023",How was D3's cosmetic system cumbersome? Destiny 2 and FFXIV have cumbersome cosmetic systems; D3 has one of the best cosmetic systems I've encountered,8-biggest-changes-in-diablo-4
keytarhero,"25 March, 2023",I’m fine with these changes as I haven’t played any of the previous Diablo games,8-biggest-changes-in-diablo-4
FortyZombies,"24 March, 2023",Is it still a completely linear button masher like D3 was?,8-biggest-changes-in-diablo-4
Optimist80,"25 March, 2023",For me the biggest change is basically making this an MMO.,8-biggest-changes-in-diablo-4
Jilsey,"24 March, 2023",10/10 calling it now.  I could see a 9.5 because of past sins being held against them.,8-biggest-changes-in-diablo-4
Alcovitch,"24 March, 2023",You forgot one: Removed almost all randomization out of the genre.  ,8-biggest-changes-in-diablo-4
UntoldLegend1,"24 March, 2023","Excited for the 2nd round of beta access, I want to try the necro and druid classes. ",8-biggest-changes-in-diablo-4
bushmaster2000,"24 March, 2023","In early beta i never found that material needed to add a socket to a gear piece. The shop was there and the option was there, just no mats to do it.
And dodging i thought sucks in this game why is it on a cooldown i don't get it.  At least i found a gear piece that gave me two dashes before cooldow...
See more",8-biggest-changes-in-diablo-4
WildAttorney,"24 March, 2023",The biggest change that I know is coming to Diablo 4 is Microsoft ownership.,8-biggest-changes-in-diablo-4
JonnieAwsum,"24 March, 2023",Hail our Dark Lord Santa!,8-biggest-changes-in-diablo-4
NaveJoseph,"24 March, 2023",Can’t wait.,8-biggest-changes-in-diablo-4
A42OB,"24 March, 2023",How is $10 more a discount? Most companies bundle a game in for free.,ps5-god-of-war-bundle-has-gotten-a-huge-discount
MasterOfTheFarts,"24 March, 2023",Sounds like a desperation move by a dead company. I see no other reasoning why this would be happening. RIP,ps5-god-of-war-bundle-has-gotten-a-huge-discount
Markkord,"24 March, 2023","why is everyone surprised?  electronic prices go down, always .  it will go down more even more by November. ",ps5-god-of-war-bundle-has-gotten-a-huge-discount
MegaAsheMan,"5 April, 2023",I actually saw PS5 bundles at Costco today. First time I've seen them physically sold in the store. ,ps5-god-of-war-bundle-has-gotten-a-huge-discount
Tray1990,"24 March, 2023",Guess they realized walking simulators aren’t fun. ,ps5-god-of-war-bundle-has-gotten-a-huge-discount
AceJakk,"24 March, 2023","Almost got me with this, but then remembered there's a pro version on the horizon.",ps5-god-of-war-bundle-has-gotten-a-huge-discount
Superman2506,"24 March, 2023",Ps5 slim and pro are on the way,ps5-god-of-war-bundle-has-gotten-a-huge-discount
G_Rog1,"24 March, 2023",Didn’t they increase the price due to inflation a few months ago?,ps5-god-of-war-bundle-has-gotten-a-huge-discount
WildAttorney,"24 March, 2023",Its a fire sale.  Clearly with the Activision news they are going out of business.,ps5-god-of-war-bundle-has-gotten-a-huge-discount
griff2015,"24 March, 2023",what you have to do when people just don't want to buy 'em...🤷‍♂️,ps5-god-of-war-bundle-has-gotten-a-huge-discount
