Author,Timestamp,Comment,Article
RealFrowns,"24 February, 2023","I definitely consider Russia's invasion of Ukraine to be a terrible act of aggression and Russia is in the wrong here. 
That said, I have a hard time wanting to boycott the hard work of individuals in the country because of the bad things their government is doing.
So, it's a hard line there. The ind...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
coryholbyisanub,"24 February, 2023",Wow this is spicy. Honestly don’t see a problem with an old cartoon but perhaps consider a disclaimer of sorts ,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
DarkSoulsMasterClass,"24 February, 2023","Play what you want, when you want and where you want. ",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Goblinkun,"4 March, 2023","""Reset Era"", of course it had to be them. So in a game where they're trying to go for an old school type of feel in the cartoon, they're just supposed to ignore that one bit of reality just because it's ""offensive"" nowadays? That's like saying in a World War 2 game, there shouldn't be any Naht zhee...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Potw6672,"24 February, 2023",Just like Hogwarts Legacy I'm gonna play it! ,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Lord_Woffingshiri,"24 February, 2023","I hate it when the Ukrainian government starts making announcements like that. It's something I expect more of Russia.
""We don't like something for political and cultural reasons, so we want to be banned not only in our country, but everywhere else as well! Anyone who disagrees is a bad person""",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Killa4204,"25 February, 2023","Waghhhh. Quit buying their game, but don't stop sending your tax dollars to us for funding the war.",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
MasterOfTheFarts,"24 February, 2023",Can they apologize for making the intro 3 hours too long and the dialogue duke nukem levels of cringe?,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Johnlarson626,"24 February, 2023","I wasn’t going to play it, but I think I will now.",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
LordWaffle416,"25 February, 2023","Yeah, I'm still playing this game. Ukraine already has more than enough support and sympathy points. ",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
thelostscribe,"26 February, 2023","I think if Ukraine officials have enough time to tweet about a video game, they probably don't need war time aid anymore. Or how about they go ahead and spend that time providing receipts as to where their tens of billions of dollars in aid is going, as well as how the donated weapons and ammunitio...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Flying_Video1,"24 February, 2023","While the developers' silence on the war in Ukraine is suspicious, I don't think it's enough to warrant a boycott. Calling the game ""toxic"" is also really vague, as is the ""potential"" ties to Russia. Looks like they're just going after the game because it's by Russian developers and it's set in an ...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
SenturyGames,"24 February, 2023","- IGN puts disclaimers on Hogwarts Legacy articles -
Why don't you put the same thing on Atomic Heart articles because they are Russian and funding the war and haven't come out against the war and and and...
- IGN adds a disclaimer/article that touches on those topics -
Shut up and stick to games IGN!...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Drizake1,"4 March, 2023",It’s wrong to punish the random citizens of a country because of the things their government has done. ,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Youngsexynerd1,"24 February, 2023",Bro please just ignore these people. Especially the cesspool of people who were obviously going to launch a witch hunt on this game in the first place. We all knew they would aim there sights on the game after they failed spectacularly with Hogwarts Legacy. These people have nothing better to do. P...See more,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
SenturyGames,"24 February, 2023","They steal your tax money?
I didn't know Russian tanks were waiting on the US border? Man, corporate media is getting really lazy with their reports!",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
loak3d,"24 February, 2023",makes me want to install the game and play it even more.,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
andurilmat,"25 February, 2023","so my tax money is going to Ukraine Via weaponry and and relief supplies, while families in my own country are living in poverty with little to no support form the government, Ukraine have the gall to ask us for more and want to dictate what i can play",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
gamingdevil800,"24 February, 2023","Pretty stupid thing for the Ukraine government to go after they probably didn't even know it existed till last week. It's not the developers fault Putin started a war plus the game was published by a French company and Tencent is credited in the credits so some profits are going to France and China...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
killercounty,"4 March, 2023","LOL at these comments. This is what Politics is. If you want to dedicate your life to politics this is what you get. WAR for no reason. War is not good for anyone. But war is something that happens when you can’t come to peaceful terms politically. People actually think that Japan was evil back in ...
See more",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
bojoblue,"25 February, 2023","Great game! It has nothing to do with this war, nor do the people who created it. Stop creating hate and enjoy the hard work these game designers put into a great fictional sci-fi tale. ",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Tripletriptocaine,"4 March, 2023","Bought it the other day havent played it yet been too busy with hogwarts and the last of us. 
This has made me look forward to it even more good to see its respecting the views of the time its set in correct or not.",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Maxim1985,"4 March, 2023",I understand the war in Ukraine is a horrible atrocity and the Russian government is in wrong but I fail to see how an old cartoon depicting an African tribesman constitutes boycotting a game just because it was created by a Russian company.,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
MrCastle,"24 February, 2023",IDGAF I just want to play games. ,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
benevolio,"4 March, 2023","So good. The same five people who hated on hogwarts legacy are now hating on atomic hearts. That sure worked out well for you, didn’t it? ",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
nydavid099,"24 February, 2023",Yo just let me play atomic heart. Keep real world politics out of this,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Gamingfan,"25 February, 2023",Already bought it. I might buy 2 copies.,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
TheNeuroticSnail,"26 February, 2023","So I bought a copy, but then I donated $65 to Ukraine and called out 2 people online for being insensitive.
Altogether, I think I’m quite good, karmically speaking.
/s",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
Coltaine12,"25 February, 2023","Really digging the first few hours. Play in Russian, it makes the dialogue and acting 10 times better. Story so far and writing is nowhere near as bad as people say, many JRPGs have 10 times worse writing and get praise. ",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
ray934,"26 February, 2023","Play what you want. I will be playing this, it looks decent. Everyone gets way to caught up with the “noise” msm starts,  ",atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
SenturyGames,"24 February, 2023",This game is so far in my backlog that the war will likely be over before I get to it.,atomic-heart-apologizes-for-racist-cartoon-no-comment-on-ukraine-statement
